Day,Place,Muslim,run,Instance
0,Buthidaung,1135,1,myanmar2017_demo
0,Cox's Bazar,70542,1,myanmar2017_demo
0,Kyaukpyu,261,1,myanmar2017_demo
0,Kyauktaw,996,1,myanmar2017_demo
0,Maungdaw,1924,1,myanmar2017_demo
0,Myebon,3991,1,myanmar2017_demo
0,Paletwa,512,1,myanmar2017_demo
0,Pauktaw,2401,1,myanmar2017_demo
0,Ramree,168,1,myanmar2017_demo
0,Rathedaung,2620,1,myanmar2017_demo
0,Sittwe,13294,1,myanmar2017_demo
1,Buthidaung,2398,1,myanmar2017_demo
1,Cox's Bazar,72441,1,myanmar2017_demo
1,Kyaukpyu,250,1,myanmar2017_demo
1,Kyauktaw,2757,1,myanmar2017_demo
1,Maungdaw,1584,1,myanmar2017_demo
1,Myebon,6630,1,myanmar2017_demo
1,Paletwa,1605,1,myanmar2017_demo
1,Pauktaw,2370,1,myanmar2017_demo
1,Ramree,617,1,myanmar2017_demo
1,Rathedaung,4510,1,myanmar2017_demo
1,Sittwe,12143,1,myanmar2017_demo
2,Buthidaung,3268,1,myanmar2017_demo
2,Cox's Bazar,74209,1,myanmar2017_demo
2,Kyaukpyu,235,1,myanmar2017_demo
2,Kyauktaw,4393,1,myanmar2017_demo
2,Maungdaw,1385,1,myanmar2017_demo
2,Myebon,7064,1,myanmar2017_demo
2,Paletwa,2609,1,myanmar2017_demo
2,Pauktaw,2507,1,myanmar2017_demo
2,Ramree,1553,1,myanmar2017_demo
2,Rathedaung,6178,1,myanmar2017_demo
2,Sittwe,11099,1,myanmar2017_demo
3,Buthidaung,4070,1,myanmar2017_demo
3,Cox's Bazar,75951,1,myanmar2017_demo
3,Kyaukpyu,229,1,myanmar2017_demo
3,Kyauktaw,5893,1,myanmar2017_demo
3,Maungdaw,1441,1,myanmar2017_demo
3,Myebon,7380,1,myanmar2017_demo
3,Paletwa,3472,1,myanmar2017_demo
3,Pauktaw,2745,1,myanmar2017_demo
3,Ramree,2680,1,myanmar2017_demo
3,Rathedaung,7522,1,myanmar2017_demo
3,Sittwe,10426,1,myanmar2017_demo
4,Buthidaung,4801,1,myanmar2017_demo
4,Cox's Bazar,77666,1,myanmar2017_demo
4,Kyaukpyu,219,1,myanmar2017_demo
4,Kyauktaw,7147,1,myanmar2017_demo
4,Maungdaw,1459,1,myanmar2017_demo
4,Myebon,7610,1,myanmar2017_demo
4,Paletwa,4294,1,myanmar2017_demo
4,Pauktaw,3103,1,myanmar2017_demo
4,Ramree,4032,1,myanmar2017_demo
4,Rathedaung,8866,1,myanmar2017_demo
4,Sittwe,9935,1,myanmar2017_demo
5,Buthidaung,5543,1,myanmar2017_demo
5,Cox's Bazar,79295,1,myanmar2017_demo
5,Kyaukpyu,208,1,myanmar2017_demo
5,Kyauktaw,8287,1,myanmar2017_demo
5,Maungdaw,1584,1,myanmar2017_demo
5,Myebon,7759,1,myanmar2017_demo
5,Paletwa,5172,1,myanmar2017_demo
5,Pauktaw,3564,1,myanmar2017_demo
5,Ramree,5519,1,myanmar2017_demo
5,Rathedaung,10062,1,myanmar2017_demo
5,Sittwe,9589,1,myanmar2017_demo
6,Buthidaung,6361,1,myanmar2017_demo
6,Cox's Bazar,81145,1,myanmar2017_demo
6,Kyaukpyu,199,1,myanmar2017_demo
6,Kyauktaw,9419,1,myanmar2017_demo
6,Maungdaw,1835,1,myanmar2017_demo
6,Myebon,7991,1,myanmar2017_demo
6,Paletwa,5657,1,myanmar2017_demo
6,Pauktaw,3985,1,myanmar2017_demo
6,Ramree,7035,1,myanmar2017_demo
6,Rathedaung,11284,1,myanmar2017_demo
6,Sittwe,9425,1,myanmar2017_demo
7,Buthidaung,6944,1,myanmar2017_demo
7,Cox's Bazar,82877,1,myanmar2017_demo
7,Kyaukpyu,194,1,myanmar2017_demo
7,Kyauktaw,10543,1,myanmar2017_demo
7,Maungdaw,2080,1,myanmar2017_demo
7,Myebon,8228,1,myanmar2017_demo
7,Paletwa,6262,1,myanmar2017_demo
7,Pauktaw,4383,1,myanmar2017_demo
7,Ramree,8761,1,myanmar2017_demo
7,Rathedaung,12645,1,myanmar2017_demo
7,Sittwe,9615,1,myanmar2017_demo
8,Buthidaung,7327,1,myanmar2017_demo
8,Cox's Bazar,84844,1,myanmar2017_demo
8,Kyaukpyu,185,1,myanmar2017_demo
8,Kyauktaw,11650,1,myanmar2017_demo
8,Maungdaw,2303,1,myanmar2017_demo
8,Myebon,8475,1,myanmar2017_demo
8,Paletwa,6901,1,myanmar2017_demo
8,Pauktaw,4856,1,myanmar2017_demo
8,Ramree,10669,1,myanmar2017_demo
8,Rathedaung,13931,1,myanmar2017_demo
8,Sittwe,9971,1,myanmar2017_demo
9,Buthidaung,7717,1,myanmar2017_demo
9,Cox's Bazar,86841,1,myanmar2017_demo
9,Kyaukpyu,181,1,myanmar2017_demo
9,Kyauktaw,12771,1,myanmar2017_demo
9,Maungdaw,2487,1,myanmar2017_demo
9,Myebon,8802,1,myanmar2017_demo
9,Paletwa,7492,1,myanmar2017_demo
9,Pauktaw,5323,1,myanmar2017_demo
9,Ramree,12760,1,myanmar2017_demo
9,Rathedaung,15255,1,myanmar2017_demo
9,Sittwe,10389,1,myanmar2017_demo
10,Buthidaung,7993,1,myanmar2017_demo
10,Cox's Bazar,88909,1,myanmar2017_demo
10,Kyaukpyu,172,1,myanmar2017_demo
10,Kyauktaw,13902,1,myanmar2017_demo
10,Maungdaw,2720,1,myanmar2017_demo
10,Myebon,9100,1,myanmar2017_demo
10,Paletwa,8192,1,myanmar2017_demo
10,Pauktaw,5821,1,myanmar2017_demo
10,Ramree,14992,1,myanmar2017_demo
10,Rathedaung,16458,1,myanmar2017_demo
10,Sittwe,10851,1,myanmar2017_demo
11,Buthidaung,8309,1,myanmar2017_demo
11,Cox's Bazar,90883,1,myanmar2017_demo
11,Kyaukpyu,166,1,myanmar2017_demo
11,Kyauktaw,14968,1,myanmar2017_demo
11,Maungdaw,2933,1,myanmar2017_demo
11,Myebon,9429,1,myanmar2017_demo
11,Paletwa,8812,1,myanmar2017_demo
11,Pauktaw,6299,1,myanmar2017_demo
11,Ramree,17395,1,myanmar2017_demo
11,Rathedaung,17597,1,myanmar2017_demo
11,Sittwe,11439,1,myanmar2017_demo
12,Buthidaung,8583,1,myanmar2017_demo
12,Cox's Bazar,92913,1,myanmar2017_demo
12,Kyaukpyu,160,1,myanmar2017_demo
12,Kyauktaw,16010,1,myanmar2017_demo
12,Maungdaw,3160,1,myanmar2017_demo
12,Myebon,9744,1,myanmar2017_demo
12,Paletwa,9478,1,myanmar2017_demo
12,Pauktaw,6804,1,myanmar2017_demo
12,Ramree,19921,1,myanmar2017_demo
12,Rathedaung,18761,1,myanmar2017_demo
12,Sittwe,11966,1,myanmar2017_demo
13,Buthidaung,9420,1,myanmar2017_demo
13,Cox's Bazar,95035,1,myanmar2017_demo
13,Kyaukpyu,151,1,myanmar2017_demo
13,Kyauktaw,16927,1,myanmar2017_demo
13,Maungdaw,3484,1,myanmar2017_demo
13,Myebon,10048,1,myanmar2017_demo
13,Paletwa,10569,1,myanmar2017_demo
13,Pauktaw,7303,1,myanmar2017_demo
13,Ramree,22569,1,myanmar2017_demo
13,Rathedaung,20219,1,myanmar2017_demo
13,Sittwe,12689,1,myanmar2017_demo
14,Buthidaung,9946,1,myanmar2017_demo
14,Cox's Bazar,97238,1,myanmar2017_demo
14,Kyaukpyu,145,1,myanmar2017_demo
14,Kyauktaw,17714,1,myanmar2017_demo
14,Maungdaw,3866,1,myanmar2017_demo
14,Myebon,10389,1,myanmar2017_demo
14,Paletwa,11671,1,myanmar2017_demo
14,Pauktaw,7931,1,myanmar2017_demo
14,Ramree,25145,1,myanmar2017_demo
14,Rathedaung,22092,1,myanmar2017_demo
14,Sittwe,13573,1,myanmar2017_demo
0,Buthidaung,1122,2,myanmar2017_demo
0,Cox's Bazar,70186,2,myanmar2017_demo
0,Kyaukpyu,281,2,myanmar2017_demo
0,Kyauktaw,1013,2,myanmar2017_demo
0,Maungdaw,1911,2,myanmar2017_demo
0,Myebon,3851,2,myanmar2017_demo
0,Paletwa,506,2,myanmar2017_demo
0,Pauktaw,2336,2,myanmar2017_demo
0,Ramree,147,2,myanmar2017_demo
0,Rathedaung,2580,2,myanmar2017_demo
0,Sittwe,13475,2,myanmar2017_demo
1,Buthidaung,2453,2,myanmar2017_demo
1,Cox's Bazar,71948,2,myanmar2017_demo
1,Kyaukpyu,270,2,myanmar2017_demo
1,Kyauktaw,2731,2,myanmar2017_demo
1,Maungdaw,1564,2,myanmar2017_demo
1,Myebon,6461,2,myanmar2017_demo
1,Paletwa,1497,2,myanmar2017_demo
1,Pauktaw,2307,2,myanmar2017_demo
1,Ramree,544,2,myanmar2017_demo
1,Rathedaung,4620,2,myanmar2017_demo
1,Sittwe,12171,2,myanmar2017_demo
2,Buthidaung,3281,2,myanmar2017_demo
2,Cox's Bazar,73604,2,myanmar2017_demo
2,Kyaukpyu,262,2,myanmar2017_demo
2,Kyauktaw,4403,2,myanmar2017_demo
2,Maungdaw,1373,2,myanmar2017_demo
2,Myebon,6852,2,myanmar2017_demo
2,Paletwa,2438,2,myanmar2017_demo
2,Pauktaw,2412,2,myanmar2017_demo
2,Ramree,1429,2,myanmar2017_demo
2,Rathedaung,6087,2,myanmar2017_demo
2,Sittwe,11301,2,myanmar2017_demo
3,Buthidaung,4024,2,myanmar2017_demo
3,Cox's Bazar,75305,2,myanmar2017_demo
3,Kyaukpyu,253,2,myanmar2017_demo
3,Kyauktaw,5784,2,myanmar2017_demo
3,Maungdaw,1407,2,myanmar2017_demo
3,Myebon,7124,2,myanmar2017_demo
3,Paletwa,3322,2,myanmar2017_demo
3,Pauktaw,2640,2,myanmar2017_demo
3,Ramree,2607,2,myanmar2017_demo
3,Rathedaung,7534,2,myanmar2017_demo
3,Sittwe,10594,2,myanmar2017_demo
4,Buthidaung,4822,2,myanmar2017_demo
4,Cox's Bazar,77081,2,myanmar2017_demo
4,Kyaukpyu,234,2,myanmar2017_demo
4,Kyauktaw,7006,2,myanmar2017_demo
4,Maungdaw,1460,2,myanmar2017_demo
4,Myebon,7421,2,myanmar2017_demo
4,Paletwa,4164,2,myanmar2017_demo
4,Pauktaw,3011,2,myanmar2017_demo
4,Ramree,4073,2,myanmar2017_demo
4,Rathedaung,8813,2,myanmar2017_demo
4,Sittwe,10025,2,myanmar2017_demo
5,Buthidaung,5550,2,myanmar2017_demo
5,Cox's Bazar,78701,2,myanmar2017_demo
5,Kyaukpyu,221,2,myanmar2017_demo
5,Kyauktaw,8174,2,myanmar2017_demo
5,Maungdaw,1543,2,myanmar2017_demo
5,Myebon,7679,2,myanmar2017_demo
5,Paletwa,4955,2,myanmar2017_demo
5,Pauktaw,3424,2,myanmar2017_demo
5,Ramree,5611,2,myanmar2017_demo
5,Rathedaung,9873,2,myanmar2017_demo
5,Sittwe,9746,2,myanmar2017_demo
6,Buthidaung,6397,2,myanmar2017_demo
6,Cox's Bazar,80477,2,myanmar2017_demo
6,Kyaukpyu,215,2,myanmar2017_demo
6,Kyauktaw,9322,2,myanmar2017_demo
6,Maungdaw,1745,2,myanmar2017_demo
6,Myebon,7815,2,myanmar2017_demo
6,Paletwa,5476,2,myanmar2017_demo
6,Pauktaw,3888,2,myanmar2017_demo
6,Ramree,7252,2,myanmar2017_demo
6,Rathedaung,11210,2,myanmar2017_demo
6,Sittwe,9471,2,myanmar2017_demo
7,Buthidaung,6955,2,myanmar2017_demo
7,Cox's Bazar,82226,2,myanmar2017_demo
7,Kyaukpyu,206,2,myanmar2017_demo
7,Kyauktaw,10383,2,myanmar2017_demo
7,Maungdaw,2054,2,myanmar2017_demo
7,Myebon,8078,2,myanmar2017_demo
7,Paletwa,6097,2,myanmar2017_demo
7,Pauktaw,4351,2,myanmar2017_demo
7,Ramree,8941,2,myanmar2017_demo
7,Rathedaung,12597,2,myanmar2017_demo
7,Sittwe,9639,2,myanmar2017_demo
8,Buthidaung,7338,2,myanmar2017_demo
8,Cox's Bazar,84100,2,myanmar2017_demo
8,Kyaukpyu,196,2,myanmar2017_demo
8,Kyauktaw,11515,2,myanmar2017_demo
8,Maungdaw,2259,2,myanmar2017_demo
8,Myebon,8361,2,myanmar2017_demo
8,Paletwa,6688,2,myanmar2017_demo
8,Pauktaw,4783,2,myanmar2017_demo
8,Ramree,10803,2,myanmar2017_demo
8,Rathedaung,13972,2,myanmar2017_demo
