Day,Place,run,Muslim,Instance
0,Cox's Bazar,1,70542,myanmar2017_demo
0,Cox's Bazar,2,70186,myanmar2017_demo
0,Cox's Bazar,3,70440,myanmar2017_demo
0,Cox's Bazar,4,70506,myanmar2017_demo
0,Cox's Bazar,5,70582,myanmar2017_demo
0,Cox's Bazar,6,70168,myanmar2017_demo
0,Cox's Bazar,7,70125,myanmar2017_demo
0,Cox's Bazar,8,70584,myanmar2017_demo
0,Cox's Bazar,9,70060,myanmar2017_demo
0,Cox's Bazar,10,70366,myanmar2017_demo
0,Kyaukpyu,1,261,myanmar2017_demo
0,Kyaukpyu,2,281,myanmar2017_demo
0,Kyaukpyu,3,254,myanmar2017_demo
0,Kyaukpyu,4,300,myanmar2017_demo
0,Kyaukpyu,5,273,myanmar2017_demo
0,Kyaukpyu,6,266,myanmar2017_demo
0,Kyaukpyu,7,260,myanmar2017_demo
0,Kyaukpyu,8,277,myanmar2017_demo
0,Kyaukpyu,9,265,myanmar2017_demo
0,Kyaukpyu,10,264,myanmar2017_demo
0,Kyauktaw,1,996,myanmar2017_demo
0,Kyauktaw,2,1013,myanmar2017_demo
0,Kyauktaw,3,995,myanmar2017_demo
0,Kyauktaw,4,1006,myanmar2017_demo
0,Kyauktaw,5,1000,myanmar2017_demo
0,Kyauktaw,6,1057,myanmar2017_demo
0,Kyauktaw,7,1005,myanmar2017_demo
0,Kyauktaw,8,1019,myanmar2017_demo
0,Kyauktaw,9,1033,myanmar2017_demo
0,Kyauktaw,10,1004,myanmar2017_demo
0,Maungdaw,1,1924,myanmar2017_demo
0,Maungdaw,2,1911,myanmar2017_demo
0,Maungdaw,3,1941,myanmar2017_demo
0,Maungdaw,4,1903,myanmar2017_demo
0,Maungdaw,5,1986,myanmar2017_demo
0,Maungdaw,6,2010,myanmar2017_demo
0,Maungdaw,7,1883,myanmar2017_demo
0,Maungdaw,8,1988,myanmar2017_demo
0,Maungdaw,9,2039,myanmar2017_demo
0,Maungdaw,10,1992,myanmar2017_demo
0,Myebon,1,3991,myanmar2017_demo
0,Myebon,2,3851,myanmar2017_demo
0,Myebon,3,3983,myanmar2017_demo
0,Myebon,4,3918,myanmar2017_demo
0,Myebon,5,3891,myanmar2017_demo
0,Myebon,6,3921,myanmar2017_demo
0,Myebon,7,3881,myanmar2017_demo
0,Myebon,8,3940,myanmar2017_demo
0,Myebon,9,3878,myanmar2017_demo
0,Myebon,10,4003,myanmar2017_demo
0,Pauktaw,1,2401,myanmar2017_demo
0,Pauktaw,2,2336,myanmar2017_demo
0,Pauktaw,3,2346,myanmar2017_demo
0,Pauktaw,4,2405,myanmar2017_demo
0,Pauktaw,5,2361,myanmar2017_demo
0,Pauktaw,6,2329,myanmar2017_demo
0,Pauktaw,7,2363,myanmar2017_demo
0,Pauktaw,8,2280,myanmar2017_demo
0,Pauktaw,9,2368,myanmar2017_demo
0,Pauktaw,10,2345,myanmar2017_demo
0,Ramree,1,168,myanmar2017_demo
0,Ramree,2,147,myanmar2017_demo
0,Ramree,3,170,myanmar2017_demo
0,Ramree,4,172,myanmar2017_demo
0,Ramree,5,148,myanmar2017_demo
