Day,Place,Muslim,run
0,Buthidaung,1135,1
0,Cox's Bazar,70542,1
0,Kyaukpyu,261,1
0,Kyauktaw,996,1
0,Maungdaw,1924,1
0,Myebon,3991,1
0,Paletwa,512,1
0,Pauktaw,2401,1
0,Ramree,168,1
0,Rathedaung,2620,1
0,Sittwe,13294,1
1,Buthidaung,2398,1
1,Cox's Bazar,72441,1
1,Kyaukpyu,250,1
1,Kyauktaw,2757,1
1,Maungdaw,1584,1
1,Myebon,6630,1
1,Paletwa,1605,1
1,Pauktaw,2370,1
1,Ramree,617,1
1,Rathedaung,4510,1
1,Sittwe,12143,1
2,Buthidaung,3268,1
2,Cox's Bazar,74209,1
2,Kyaukpyu,235,1
2,Kyauktaw,4393,1
2,Maungdaw,1385,1
2,Myebon,7064,1
2,Paletwa,2609,1
2,Pauktaw,2507,1
2,Ramree,1553,1
2,Rathedaung,6178,1
2,Sittwe,11099,1
3,Buthidaung,4070,1
3,Cox's Bazar,75951,1
3,Kyaukpyu,229,1
3,Kyauktaw,5893,1
3,Maungdaw,1441,1
3,Myebon,7380,1
3,Paletwa,3472,1
3,Pauktaw,2745,1
3,Ramree,2680,1
3,Rathedaung,7522,1
3,Sittwe,10426,1
4,Buthidaung,4801,1
4,Cox's Bazar,77666,1
4,Kyaukpyu,219,1
4,Kyauktaw,7147,1
4,Maungdaw,1459,1
4,Myebon,7610,1
4,Paletwa,4294,1
4,Pauktaw,3103,1
4,Ramree,4032,1
4,Rathedaung,8866,1
4,Sittwe,9935,1
5,Buthidaung,5543,1
5,Cox's Bazar,79295,1
5,Kyaukpyu,208,1
5,Kyauktaw,8287,1
5,Maungdaw,1584,1
5,Myebon,7759,1
5,Paletwa,5172,1
5,Pauktaw,3564,1
5,Ramree,5519,1
5,Rathedaung,10062,1
5,Sittwe,9589,1
6,Buthidaung,6361,1
6,Cox's Bazar,81145,1
6,Kyaukpyu,199,1
6,Kyauktaw,9419,1
6,Maungdaw,1835,1
6,Myebon,7991,1
6,Paletwa,5657,1
6,Pauktaw,3985,1
6,Ramree,7035,1
6,Rathedaung,11284,1
6,Sittwe,9425,1
7,Buthidaung,6944,1
7,Cox's Bazar,82877,1
7,Kyaukpyu,194,1
7,Kyauktaw,10543,1
7,Maungdaw,2080,1
7,Myebon,8228,1
7,Paletwa,6262,1
7,Pauktaw,4383,1
7,Ramree,8761,1
7,Rathedaung,12645,1
7,Sittwe,9615,1
8,Buthidaung,7327,1
8,Cox's Bazar,84844,1
8,Kyaukpyu,185,1
8,Kyauktaw,11650,1
8,Maungdaw,2303,1
8,Myebon,8475,1
8,Paletwa,6901,1
8,Pauktaw,4856,1
8,Ramree,10669,1
8,Rathedaung,13931,1
8,Sittwe,9971,1
9,Buthidaung,7717,1
9,Cox's Bazar,86841,1
9,Kyaukpyu,181,1
9,Kyauktaw,12771,1
9,Maungdaw,2487,1
9,Myebon,8802,1
9,Paletwa,7492,1
9,Pauktaw,5323,1
9,Ramree,12760,1
9,Rathedaung,15255,1
9,Sittwe,10389,1
10,Buthidaung,7993,1
10,Cox's Bazar,88909,1
10,Kyaukpyu,172,1
10,Kyauktaw,13902,1
10,Maungdaw,2720,1
10,Myebon,9100,1
10,Paletwa,8192,1
10,Pauktaw,5821,1
10,Ramree,14992,1
10,Rathedaung,16458,1
10,Sittwe,10851,1
11,Buthidaung,8309,1
11,Cox's Bazar,90883,1
11,Kyaukpyu,166,1
11,Kyauktaw,14968,1
11,Maungdaw,2933,1
11,Myebon,9429,1
11,Paletwa,8812,1
11,Pauktaw,6299,1
11,Ramree,17395,1
11,Rathedaung,17597,1
11,Sittwe,11439,1
12,Buthidaung,8583,1
12,Cox's Bazar,92913,1
12,Kyaukpyu,160,1
12,Kyauktaw,16010,1
12,Maungdaw,3160,1
12,Myebon,9744,1
12,Paletwa,9478,1
12,Pauktaw,6804,1
12,Ramree,19921,1
12,Rathedaung,18761,1
12,Sittwe,11966,1
13,Buthidaung,9420,1
13,Cox's Bazar,95035,1
