Day,Place,run,Muslim
0,Cox's Bazar,1,70542
0,Cox's Bazar,2,70186
0,Cox's Bazar,3,70440
0,Cox's Bazar,4,70506
0,Cox's Bazar,5,70582
0,Cox's Bazar,6,70168
0,Cox's Bazar,7,70125
0,Cox's Bazar,8,70584
0,Cox's Bazar,9,70060
0,Cox's Bazar,10,70366
0,Kyauktaw,1,996
0,Kyauktaw,2,1013
0,Kyauktaw,3,995
0,Kyauktaw,4,1006
0,Kyauktaw,5,1000
0,Kyauktaw,6,1057
0,Kyauktaw,7,1005
0,Kyauktaw,8,1019
0,Kyauktaw,9,1033
0,Kyauktaw,10,1004
0,Ramree,1,168
0,Ramree,2,147
0,Ramree,3,170
0,Ramree,4,172
0,Ramree,5,148
0,Ramree,6,163
0,Ramree,7,179
0,Ramree,8,171
0,Ramree,9,172
0,Ramree,10,174
0,Rathedaung,1,2620
0,Rathedaung,2,2580
0,Rathedaung,3,2538
0,Rathedaung,4,2633
0,Rathedaung,5,2566
0,Rathedaung,6,2648
0,Rathedaung,7,2581
0,Rathedaung,8,2668
0,Rathedaung,9,2697
0,Rathedaung,10,2629
0,Sittwe,1,13294
0,Sittwe,2,13475
0,Sittwe,3,13401
0,Sittwe,4,13509
0,Sittwe,5,13498
0,Sittwe,6,13370
0,Sittwe,7,13588
0,Sittwe,8,13430
0,Sittwe,9,13395
0,Sittwe,10,13380
1,Cox's Bazar,1,72441
1,Cox's Bazar,2,71948
1,Cox's Bazar,3,72213
1,Cox's Bazar,4,72366
1,Cox's Bazar,5,72367
1,Cox's Bazar,6,71961
1,Cox's Bazar,7,71918
1,Cox's Bazar,8,72272
1,Cox's Bazar,9,71818
1,Cox's Bazar,10,72113
1,Kyauktaw,1,2757
1,Kyauktaw,2,2731
1,Kyauktaw,3,2683
1,Kyauktaw,4,2716
1,Kyauktaw,5,2672
1,Kyauktaw,6,2826
1,Kyauktaw,7,2689
1,Kyauktaw,8,2718
1,Kyauktaw,9,2774
1,Kyauktaw,10,2712
1,Ramree,1,617
1,Ramree,2,544
1,Ramree,3,618
1,Ramree,4,608
1,Ramree,5,587
1,Ramree,6,569
1,Ramree,7,662
1,Ramree,8,625
1,Ramree,9,604
1,Ramree,10,616
1,Rathedaung,1,4510
1,Rathedaung,2,4620
1,Rathedaung,3,4539
1,Rathedaung,4,4607
1,Rathedaung,5,4548
1,Rathedaung,6,4687
1,Rathedaung,7,4603
