Location,Mean_Error,Mean_Std,Max_Mean_Error,Min_Mean_Error
Cox's Bazar,0.012768666666666666,0.0004788522870117008,0.03551,0.00047000000000000004
Kyaukpyu,0.39493000000000006,0.010308035067606944,0.61471,0.10556999999999998
Kyauktaw,41.21890133333332,0.2869237490159185,64.78626999999999,0.16208
Myebon,4.026944666666667,0.03719327058485529,5.70003,0.96107
Pauktaw,0.4331166666666667,0.0051326553685385485,0.48936999999999997,0.2853
Sittwe,0.6549486666666666,0.0012350296475241139,0.8442000000000001,0.27836
Ramree,57.35673933333333,0.31580692675320543,127.91817999999998,0.33785999999999994
Maungdaw,0.7017426666666665,0.02270231753697605,3.07631,0.13099
Rathedaung,0.735682,0.01672494685046748,0.98612,0.20990999999999999
Total,0.21602051857014784,0.0005234751075195291,0.291267649374993,0.07809109827955833
