Location,Mean_Error_Scaled,Mean_Std_Scaled,Max_Mean_Error_Scaled,Min_Mean_Error_Scaled
Cox's Bazar,0.35272559852670343,0.013227963729604993,0.9809392265193368,0.012983425414364641
Kyaukpyu,0.5541852678571427,0.019174172372780764,0.963002232142857,0.015941220238095234
Kyauktaw,0.6300398393347781,0.004397608858492993,0.9912510307240051,0.0007721617156152005
Myebon,0.637663318810045,0.007608008383589765,0.9798985415345592,0.010528361323051124
Pauktaw,0.7053106825834097,0.023565910783005278,0.9635904499540862,0.02662993572084473
Sittwe,0.6637137014314928,0.0021648197152044054,0.9954425942156003,0.003610867659947445
Ramree,0.4433970082399622,0.00245301222792167,0.991478959939414,0.0005061265704798337
Maungdaw,0.19840978992098948,0.007401883713271838,0.9726158260245837,0.012321085064067035
Rathedaung,0.6550706627680313,0.020376397234975,0.9601851851851851,0.014510233918128645
Total,0.6461109643020468,0.0024386942795012034,0.9966620121105783,0.003544233991897533
