Location,Mean_Error_Scaled,Mean_Std_Scaled,Max_Mean_Error_Scaled,Min_Mean_Error_Scaled
Cox's Bazar,0.34528925619834705,0.01710978715676372,0.9768595041322315,0.008264462809917356
Kyaukpyu,0.5524015123795586,0.017593520414864023,0.9556714233443102,0.021240395170142715
Kyauktaw,0.6296795729954549,0.004233463101285328,0.9891567538423361,0.0011733026171081612
Myebon,0.6378258030368645,0.0065714273641056115,0.9845359123997278,0.005112078031880886
Pauktaw,0.6970466082141209,0.01998140509860345,0.9575449930779879,0.015366866635902116
Sittwe,0.6628008650417908,0.0027050712477856417,0.9941960371734174,0.003331579870243715
Ramree,0.44470513224580593,0.002469122022039497,0.993125039784751,0.0005117289327129244
Maungdaw,0.2089326871297792,0.007269714769030122,0.9758966074313408,0.022852988691437804
Rathedaung,0.6639706299947264,0.023395994532650528,0.9547280029207743,0.03497626871120847
Total,0.6440315529663524,0.0033242907809948987,0.9941467111053521,0.0024512918285291008
