Day,Place,Muslim,run
0,Buthidaung,1077,1
0,Cox's Bazar,70137,1
0,Kyaukpyu,271,1
0,Kyauktaw,979,1
0,Maungdaw,1925,1
0,Myebon,3835,1
0,Paletwa,537,1
0,Pauktaw,2305,1
0,Ramree,196,1
0,Rathedaung,2446,1
0,Sittwe,13774,1
1,Buthidaung,2454,1
1,Cox's Bazar,71872,1
1,Kyaukpyu,261,1
1,Kyauktaw,2666,1
1,Maungdaw,1622,1
1,Myebon,6325,1
1,Paletwa,1621,1
1,Pauktaw,2271,1
1,Ramree,644,1
1,Rathedaung,4539,1
1,Sittwe,12473,1
2,Buthidaung,3266,1
2,Cox's Bazar,73609,1
2,Kyaukpyu,247,1
2,Kyauktaw,4189,1
2,Maungdaw,1422,1
2,Myebon,6782,1
2,Paletwa,2537,1
2,Pauktaw,2440,1
2,Ramree,1536,1
2,Rathedaung,6127,1
2,Sittwe,11485,1
3,Buthidaung,4082,1
3,Cox's Bazar,75434,1
3,Kyaukpyu,238,1
3,Kyauktaw,5594,1
3,Maungdaw,1470,1
3,Myebon,7125,1
3,Paletwa,3411,1
3,Pauktaw,2648,1
3,Ramree,2692,1
3,Rathedaung,7544,1
3,Sittwe,10815,1
4,Buthidaung,4819,1
4,Cox's Bazar,77127,1
4,Kyaukpyu,220,1
4,Kyauktaw,6873,1
4,Maungdaw,1531,1
4,Myebon,7421,1
4,Paletwa,4284,1
4,Pauktaw,2969,1
4,Ramree,4049,1
4,Rathedaung,8955,1
4,Sittwe,10242,1
5,Buthidaung,5600,1
5,Cox's Bazar,78815,1
5,Kyaukpyu,213,1
5,Kyauktaw,8018,1
5,Maungdaw,1622,1
5,Myebon,7617,1
5,Paletwa,5005,1
5,Pauktaw,3503,1
5,Ramree,5600,1
5,Rathedaung,10173,1
5,Sittwe,9849,1
6,Buthidaung,6400,1
6,Cox's Bazar,80554,1
6,Kyaukpyu,200,1
6,Kyauktaw,9125,1
6,Maungdaw,1848,1
6,Myebon,7911,1
6,Paletwa,5552,1
6,Pauktaw,3942,1
6,Ramree,7140,1
6,Rathedaung,11405,1
6,Sittwe,9668,1
7,Buthidaung,6980,1
7,Cox's Bazar,82328,1
7,Kyaukpyu,193,1
7,Kyauktaw,10262,1
7,Maungdaw,2134,1
7,Myebon,8194,1
7,Paletwa,6184,1
7,Pauktaw,4413,1
7,Ramree,8793,1
7,Rathedaung,12804,1
7,Sittwe,9773,1
8,Buthidaung,7404,1
8,Cox's Bazar,84258,1
8,Kyaukpyu,180,1
8,Kyauktaw,11483,1
8,Maungdaw,2363,1
8,Myebon,8425,1
