Day,Place,run,Muslim
0,Cox's Bazar,1,70137
0,Cox's Bazar,2,70170
0,Cox's Bazar,3,70337
0,Cox's Bazar,4,70563
0,Cox's Bazar,5,70441
0,Cox's Bazar,6,70349
0,Cox's Bazar,7,70273
0,Cox's Bazar,8,70295
0,Cox's Bazar,9,70406
0,Cox's Bazar,10,70214
0,Kyauktaw,1,979
0,Kyauktaw,2,1043
0,Kyauktaw,3,999
0,Kyauktaw,4,1057
0,Kyauktaw,5,1017
0,Kyauktaw,6,986
0,Kyauktaw,7,1031
0,Kyauktaw,8,1013
0,Kyauktaw,9,989
0,Kyauktaw,10,1033
0,Ramree,1,196
0,Ramree,2,165
0,Ramree,3,190
0,Ramree,4,176
0,Ramree,5,157
0,Ramree,6,160
0,Ramree,7,168
0,Ramree,8,144
0,Ramree,9,172
0,Ramree,10,163
0,Rathedaung,1,2446
0,Rathedaung,2,2668
0,Rathedaung,3,2575
0,Rathedaung,4,2581
0,Rathedaung,5,2635
0,Rathedaung,6,2586
0,Rathedaung,7,2679
0,Rathedaung,8,2565
0,Rathedaung,9,2506
0,Rathedaung,10,2612
0,Sittwe,1,13774
0,Sittwe,2,13582
0,Sittwe,3,13474
0,Sittwe,4,13350
0,Sittwe,5,13462
0,Sittwe,6,13599
0,Sittwe,7,13620
0,Sittwe,8,13333
0,Sittwe,9,13504
0,Sittwe,10,13565
1,Cox's Bazar,1,71872
1,Cox's Bazar,2,71972
1,Cox's Bazar,3,72169
1,Cox's Bazar,4,72291
1,Cox's Bazar,5,72258
1,Cox's Bazar,6,72072
1,Cox's Bazar,7,72024
1,Cox's Bazar,8,72085
1,Cox's Bazar,9,72219
1,Cox's Bazar,10,71946
1,Kyauktaw,1,2666
1,Kyauktaw,2,2787
1,Kyauktaw,3,2735
1,Kyauktaw,4,2708
1,Kyauktaw,5,2647
1,Kyauktaw,6,2632
1,Kyauktaw,7,2765
1,Kyauktaw,8,2658
1,Kyauktaw,9,2716
1,Kyauktaw,10,2753
1,Ramree,1,644
1,Ramree,2,601
1,Ramree,3,633
1,Ramree,4,619
1,Ramree,5,608
1,Ramree,6,590
1,Ramree,7,587
1,Ramree,8,556
1,Ramree,9,604
1,Ramree,10,591
1,Rathedaung,1,4539
1,Rathedaung,2,4645
1,Rathedaung,3,4630
1,Rathedaung,4,4573
1,Rathedaung,5,4632
1,Rathedaung,6,4574
1,Rathedaung,7,4619
1,Rathedaung,8,4539
1,Rathedaung,9,4513
1,Rathedaung,10,4719
1,Sittwe,1,12473
1,Sittwe,2,12350
1,Sittwe,3,12282
1,Sittwe,4,12149
1,Sittwe,5,12333
1,Sittwe,6,12430
1,Sittwe,7,12395
1,Sittwe,8,12109
1,Sittwe,9,12182
1,Sittwe,10,12317
2,Cox's Bazar,1,73609
2,Cox's Bazar,2,73709
2,Cox's Bazar,3,73903
2,Cox's Bazar,4,74112
2,Cox's Bazar,5,73970
2,Cox's Bazar,6,73806
2,Cox's Bazar,7,73752
2,Cox's Bazar,8,73755
2,Cox's Bazar,9,73940
2,Cox's Bazar,10,73637
2,Kyauktaw,1,4189
2,Kyauktaw,2,4385
2,Kyauktaw,3,4303
2,Kyauktaw,4,4244
2,Kyauktaw,5,4123
2,Kyauktaw,6,4227
2,Kyauktaw,7,4307
2,Kyauktaw,8,4147
2,Kyauktaw,9,4284
2,Kyauktaw,10,4317
2,Ramree,1,1536
2,Ramree,2,1461
2,Ramree,3,1572
2,Ramree,4,1519
2,Ramree,5,1517
2,Ramree,6,1480
2,Ramree,7,1468
2,Ramree,8,1460
2,Ramree,9,1510
2,Ramree,10,1463
2,Rathedaung,1,6127
2,Rathedaung,2,6059
2,Rathedaung,3,6152
2,Rathedaung,4,6050
2,Rathedaung,5,6267
2,Rathedaung,6,6217
2,Rathedaung,7,6167
2,Rathedaung,8,6075
2,Rathedaung,9,6040
2,Rathedaung,10,6313
2,Sittwe,1,11485
2,Sittwe,2,11441
2,Sittwe,3,11443
2,Sittwe,4,11287
2,Sittwe,5,11417
2,Sittwe,6,11424
2,Sittwe,7,11490
2,Sittwe,8,11215
2,Sittwe,9,11288
2,Sittwe,10,11425
3,Cox's Bazar,1,75434
3,Cox's Bazar,2,75445
3,Cox's Bazar,3,75629
3,Cox's Bazar,4,75790
3,Cox's Bazar,5,75746
3,Cox's Bazar,6,75510
3,Cox's Bazar,7,75469
3,Cox's Bazar,8,75450
3,Cox's Bazar,9,75684
3,Cox's Bazar,10,75400
3,Kyauktaw,1,5594
3,Kyauktaw,2,5831
3,Kyauktaw,3,5662
3,Kyauktaw,4,5704
3,Kyauktaw,5,5497
3,Kyauktaw,6,5637
3,Kyauktaw,7,5651
3,Kyauktaw,8,5561
3,Kyauktaw,9,5550
3,Kyauktaw,10,5664
3,Ramree,1,2692
3,Ramree,2,2553
3,Ramree,3,2718
3,Ramree,4,2671
3,Ramree,5,2679
3,Ramree,6,2654
3,Ramree,7,2581
3,Ramree,8,2646
3,Ramree,9,2618
3,Ramree,10,2620
3,Rathedaung,1,7544
3,Rathedaung,2,7562
3,Rathedaung,3,7643
3,Rathedaung,4,7646
3,Rathedaung,5,7787
3,Rathedaung,6,7698
3,Rathedaung,7,7633
3,Rathedaung,8,7447
3,Rathedaung,9,7491
3,Rathedaung,10,7712
3,Sittwe,1,10815
3,Sittwe,2,10741
3,Sittwe,3,10783
3,Sittwe,4,10469
3,Sittwe,5,10733
3,Sittwe,6,10705
3,Sittwe,7,10805
3,Sittwe,8,10600
3,Sittwe,9,10638
3,Sittwe,10,10818
4,Cox's Bazar,1,77127
4,Cox's Bazar,2,77042
4,Cox's Bazar,3,77375
4,Cox's Bazar,4,77427
4,Cox's Bazar,5,77369
4,Cox's Bazar,6,77189
4,Cox's Bazar,7,77232
4,Cox's Bazar,8,77216
4,Cox's Bazar,9,77389
4,Cox's Bazar,10,77052
4,Kyauktaw,1,6873
4,Kyauktaw,2,7088
4,Kyauktaw,3,6913
4,Kyauktaw,4,7041
4,Kyauktaw,5,6878
4,Kyauktaw,6,6870
4,Kyauktaw,7,6885
4,Kyauktaw,8,6796
4,Kyauktaw,9,6835
4,Kyauktaw,10,6925
4,Ramree,1,4049
4,Ramree,2,3906
4,Ramree,3,4081
4,Ramree,4,4022
4,Ramree,5,4033
4,Ramree,6,4052
4,Ramree,7,3981
4,Ramree,8,3990
4,Ramree,9,3974
4,Ramree,10,4038
4,Rathedaung,1,8955
4,Rathedaung,2,8968
4,Rathedaung,3,8939
4,Rathedaung,4,8884
4,Rathedaung,5,9034
4,Rathedaung,6,9081
4,Rathedaung,7,8966
4,Rathedaung,8,8772
4,Rathedaung,9,8781
4,Rathedaung,10,8984
4,Sittwe,1,10242
4,Sittwe,2,10167
4,Sittwe,3,10228
4,Sittwe,4,9977
4,Sittwe,5,10146
4,Sittwe,6,10200
4,Sittwe,7,10305
4,Sittwe,8,10118
4,Sittwe,9,10087
4,Sittwe,10,10212
5,Cox's Bazar,1,78815
5,Cox's Bazar,2,78708
5,Cox's Bazar,3,79046
5,Cox's Bazar,4,79027
5,Cox's Bazar,5,79141
5,Cox's Bazar,6,78876
5,Cox's Bazar,7,78871
5,Cox's Bazar,8,78825
5,Cox's Bazar,9,79032
5,Cox's Bazar,10,78738
5,Kyauktaw,1,8018
5,Kyauktaw,2,8276
5,Kyauktaw,3,8022
5,Kyauktaw,4,8219
5,Kyauktaw,5,8143
5,Kyauktaw,6,8087
5,Kyauktaw,7,8158
5,Kyauktaw,8,8046
5,Kyauktaw,9,8089
5,Kyauktaw,10,8165
5,Ramree,1,5600
5,Ramree,2,5389
5,Ramree,3,5516
5,Ramree,4,5517
5,Ramree,5,5520
5,Ramree,6,5643
5,Ramree,7,5427
5,Ramree,8,5464
5,Ramree,9,5428
5,Ramree,10,5613
5,Rathedaung,1,10173
5,Rathedaung,2,10205
5,Rathedaung,3,10120
5,Rathedaung,4,10094
5,Rathedaung,5,10085
5,Rathedaung,6,10206
5,Rathedaung,7,10142
5,Rathedaung,8,9866
5,Rathedaung,9,9952
5,Rathedaung,10,10214
5,Sittwe,1,9849
5,Sittwe,2,9794
5,Sittwe,3,9962
5,Sittwe,4,9628
5,Sittwe,5,9890
5,Sittwe,6,9937
5,Sittwe,7,9882
5,Sittwe,8,9826
5,Sittwe,9,9810
5,Sittwe,10,9823
6,Cox's Bazar,1,80554
6,Cox's Bazar,2,80479
6,Cox's Bazar,3,80818
6,Cox's Bazar,4,80822
6,Cox's Bazar,5,80855
6,Cox's Bazar,6,80741
6,Cox's Bazar,7,80574
6,Cox's Bazar,8,80655
6,Cox's Bazar,9,80743
6,Cox's Bazar,10,80522
6,Kyauktaw,1,9125
6,Kyauktaw,2,9487
6,Kyauktaw,3,9225
6,Kyauktaw,4,9343
